2 100 -5 5 5041
1.3000	0.8000	1.1402
1.3000	0.9000	1.1402
1.3000	1.0000	1.1402
1.3000	1.1000	1.1402
1.3000	1.2000	1.1402
1.3000	1.3000	1.1402
1.3000	1.4000	1.1402
1.3000	1.5000	1.1402
1.3000	1.6000	1.1402
1.3000	1.7000	1.1402
1.3000	1.8000	1.1402
1.3000	1.9000	1.1402
1.3000	2.0000	1.1402
1.3000	2.1000	1.1402
1.3000	2.2000	1.1402
1.3000	2.3000	1.1402
1.3000	2.4000	1.1402
1.3000	2.5000	1.1402
1.3000	2.6000	1.1402
1.3000	2.7000	1.1402
1.3000	2.8000	1.1402
1.3000	2.9000	1.1402
1.3000	3.0000	1.1402
1.3000	3.1000	1.1402
1.3000	3.2000	1.1402
1.3000	3.3000	1.1402
1.3000	3.4000	1.1402
1.3000	3.5000	1.1402
1.3000	3.6000	1.1402
1.3000	3.7000	1.1402
1.3000	3.8000	1.1402
1.3000	3.9000	1.1402
1.3000	4.0000	1.1402
1.3000	4.1000	1.1402
1.3000	4.2000	1.1402
1.3000	4.3000	1.1402
1.3000	4.4000	1.1402
1.3000	4.5000	1.1402
1.3000	4.6000	1.1402
1.3000	4.7000	1.1402
1.3000	4.8000	1.1402
1.3000	4.9000	1.1402
1.3000	5.0000	1.1402
1.3000	5.1000	1.1402
1.3000	5.2000	1.1402
1.3000	5.3000	1.1402
1.3000	5.4000	1.1402
1.3000	5.5000	1.1402
1.3000	5.6000	1.1402
1.3000	5.7000	1.1402
1.3000	5.8000	1.1402
1.3000	5.9000	1.1402
1.3000	6.0000	1.1402
1.3000	6.1000	1.1402
1.3000	6.2000	1.1402
1.3000	6.3000	1.1402
1.3000	6.4000	1.1402
1.3000	6.5000	1.1402
1.3000	6.6000	1.1402
1.3000	6.7000	1.1402
1.3000	6.8000	1.1402
1.3000	6.9000	1.1402
1.3000	7.0000	1.1402
1.4000	0.0000	0.9842
1.4000	0.1000	0.9842
1.4000	0.2000	0.9842
1.4000	0.3000	0.9842
1.4000	0.4000	0.9842
1.4000	0.5000	0.9842
1.4000	0.6000	0.9842
1.4000	0.7000	0.9842
1.4000	0.8000	0.9842
1.4000	0.9000	0.9842
1.4000	1.0000	0.9842
1.4000	1.1000	0.9842
1.4000	1.2000	0.9842
1.4000	1.3000	0.9842
1.4000	1.4000	0.9842
1.4000	1.5000	0.9842
1.4000	1.6000	0.9842
1.4000	1.7000	0.9842
1.4000	1.8000	0.9842
1.4000	1.9000	0.9842
1.4000	2.0000	0.9842
1.4000	2.1000	0.9842
1.4000	2.2000	0.9842
1.4000	2.3000	0.9842
1.4000	2.4000	0.9842
1.4000	2.5000	0.9842
1.4000	2.6000	0.9842
1.4000	2.7000	0.9842
1.4000	2.8000	0.9842
1.4000	2.9000	0.9842
1.4000	3.0000	0.9842
1.4000	3.1000	0.9842
1.4000	3.2000	0.9842
1.4000	3.3000	0.9842
1.4000	3.4000	0.9842
1.4000	3.5000	0.9842
1.4000	3.6000	0.9842
1.4000	3.7000	0.9842
1.4000	3.8000	0.9842
1.4000	3.9000	0.9842
1.4000	4.0000	0.9842
1.4000	4.1000	0.9842
1.4000	4.2000	0.9842
1.4000	4.3000	0.9842
1.4000	4.4000	0.9842
1.4000	4.5000	0.9842
1.4000	4.6000	0.9842
1.4000	4.7000	0.9842
1.4000	4.8000	0.9842
1.4000	4.9000	0.9842
1.4000	5.0000	0.9842
1.4000	5.1000	0.9842
1.4000	5.2000	0.9842
1.4000	5.3000	0.9842
1.4000	5.4000	0.9842
1.4000	5.5000	0.9842
1.4000	5.6000	0.9842
1.4000	5.7000	0.9842
1.4000	5.8000	0.9842
1.4000	5.9000	0.9842
1.4000	6.0000	0.9842
1.4000	6.1000	0.9842
1.4000	6.2000	0.9842
1.4000	6.3000	0.9842
1.4000	6.4000	0.9842
1.4000	6.5000	0.9842
1.4000	6.6000	0.9842
1.4000	6.7000	0.9842
1.4000	6.8000	0.9842
1.4000	6.9000	0.9842
1.4000	7.0000	0.9842
1.5000	0.0000	0.8231
1.5000	0.1000	0.8231
1.5000	0.2000	0.8231
1.5000	0.3000	0.8231
1.5000	0.4000	0.8231
1.5000	0.5000	0.8231
1.5000	0.6000	0.8231
1.5000	0.7000	0.8231
1.5000	0.8000	0.8231
1.5000	0.9000	0.8231
1.5000	1.0000	0.8231
1.5000	1.1000	0.8231
1.5000	1.2000	0.8231
1.5000	1.3000	0.8231
1.5000	1.4000	0.8231
1.5000	1.5000	0.8231
1.5000	1.6000	0.8231
1.5000	1.7000	0.8231
1.5000	1.8000	0.8231
1.5000	1.9000	0.8231
1.5000	2.0000	0.8231
1.5000	2.1000	0.8231
1.5000	2.2000	0.8231
1.5000	2.3000	0.8231
1.5000	2.4000	0.8231
1.5000	2.5000	0.8231
1.5000	2.6000	0.8231
1.5000	2.7000	0.8231
1.5000	2.8000	0.8231
1.5000	2.9000	0.8231
1.5000	3.0000	0.8231
1.5000	3.1000	0.8231
1.5000	3.2000	0.8231
1.5000	3.3000	0.8231
1.5000	3.4000	0.8231
1.5000	3.5000	0.8231
1.5000	3.6000	0.8231
1.5000	3.7000	0.8231
1.5000	3.8000	0.8231
1.5000	3.9000	0.8231
1.5000	4.0000	0.8231
1.5000	4.1000	0.8231
1.5000	4.2000	0.8231
1.5000	4.3000	0.8231
1.5000	4.4000	0.8231
1.5000	4.5000	0.8231
1.5000	4.6000	0.8231
1.5000	4.7000	0.8231
1.5000	4.8000	0.8231
1.5000	4.9000	0.8231
1.5000	5.0000	0.8231
1.5000	5.1000	0.8231
1.5000	5.2000	0.8231
1.5000	5.3000	0.8231
1.5000	5.4000	0.8231
1.5000	5.5000	0.8231
1.5000	5.6000	0.8231
1.5000	5.7000	0.8231
1.5000	5.8000	0.8231
1.5000	5.9000	0.8231
1.5000	6.0000	0.8231
1.5000	6.1000	0.8231
1.5000	6.2000	0.8231
1.5000	6.3000	0.8231
1.5000	6.4000	0.8231
1.5000	6.5000	0.8231
1.5000	6.6000	0.8231
1.5000	6.7000	0.8231
1.5000	6.8000	0.8231
1.5000	6.9000	0.8231
1.5000	7.0000	0.8231
1.6000	0.0000	0.6590
1.6000	0.1000	0.6590
1.6000	0.2000	0.6590
1.6000	0.3000	0.6590
1.6000	0.4000	0.6590
1.6000	0.5000	0.6590
1.6000	0.6000	0.6590
1.6000	0.7000	0.6590
1.6000	0.8000	0.6590
1.6000	0.9000	0.6590
1.6000	1.0000	0.6590
1.6000	1.1000	0.6590
1.6000	1.2000	0.6590
1.6000	1.3000	0.6590
1.6000	1.4000	0.6590
1.6000	1.5000	0.6590
1.6000	1.6000	0.6590
1.6000	1.7000	0.6590
1.6000	1.8000	0.6590
1.6000	1.9000	0.6590
1.6000	2.0000	0.6590
1.6000	2.1000	0.6590
1.6000	2.2000	0.6590
1.6000	2.3000	0.6590
1.6000	2.4000	0.6590
1.6000	2.5000	0.6590
1.6000	2.6000	0.6590
1.6000	2.7000	0.6590
1.6000	2.8000	0.6590
1.6000	2.9000	0.6590
1.6000	3.0000	0.6590
1.6000	3.1000	0.6590
1.6000	3.2000	0.6590
1.6000	3.3000	0.6590
1.6000	3.4000	0.6590
1.6000	3.5000	0.6590
1.6000	3.6000	0.6590
1.6000	3.7000	0.6590
1.6000	3.8000	0.6590
1.6000	3.9000	0.6590
1.6000	4.0000	0.6590
1.6000	4.1000	0.6590
1.6000	4.2000	0.6590
1.6000	4.3000	0.6590
1.6000	4.4000	0.6590
1.6000	4.5000	0.6590
1.6000	4.6000	0.6590
1.6000	4.7000	0.6590
1.6000	4.8000	0.6590
1.6000	4.9000	0.6590
1.6000	5.0000	0.6590
1.6000	5.1000	0.6590
1.6000	5.2000	0.6590
1.6000	5.3000	0.6590
1.6000	5.4000	0.6590
1.6000	5.5000	0.6590
1.6000	5.6000	0.6590
1.6000	5.7000	0.6590
1.6000	5.8000	0.6590
1.6000	5.9000	0.6590
1.6000	6.0000	0.6590
1.6000	6.1000	0.6590
1.6000	6.2000	0.6590
1.6000	6.3000	0.6590
1.6000	6.4000	0.6590
1.6000	6.5000	0.6590
1.6000	6.6000	0.6590
1.6000	6.7000	0.6590
1.6000	6.8000	0.6590
1.6000	6.9000	0.6590
1.6000	7.0000	0.6590
1.7000	0.0000	0.4936
1.7000	0.1000	0.4936
1.7000	0.2000	0.4936
1.7000	0.3000	0.4936
1.7000	0.4000	0.4936
1.7000	0.5000	0.4936
1.7000	0.6000	0.4936
1.7000	0.7000	0.4936
1.7000	0.8000	0.4936
1.7000	0.9000	0.4936
1.7000	1.0000	0.4936
1.7000	1.1000	0.4936
1.7000	1.2000	0.4936
1.7000	1.3000	0.4936
1.7000	1.4000	0.4936
1.7000	1.5000	0.4936
1.7000	1.6000	0.4936
1.7000	1.7000	0.4936
1.7000	1.8000	0.4936
1.7000	1.9000	0.4936
1.7000	2.0000	0.4936
1.7000	2.1000	0.4936
1.7000	2.2000	0.4936
1.7000	2.3000	0.4936
1.7000	2.4000	0.4936
1.7000	2.5000	0.4936
1.7000	2.6000	0.4936
1.7000	2.7000	0.4936
1.7000	2.8000	0.4936
1.7000	2.9000	0.4936
1.7000	3.0000	0.4936
1.7000	3.1000	0.4936
1.7000	3.2000	0.4936
1.7000	3.3000	0.4936
1.7000	3.4000	0.4936
1.7000	3.5000	0.4936
1.7000	3.6000	0.4936
1.7000	3.7000	0.4936
1.7000	3.8000	0.4936
1.7000	3.9000	0.4936
1.7000	4.0000	0.4936
1.7000	4.1000	0.4936
1.7000	4.2000	0.4936
1.7000	4.3000	0.4936
1.7000	4.4000	0.4936
1.7000	4.5000	0.4936
1.7000	4.6000	0.4936
1.7000	4.7000	0.4936
1.7000	4.8000	0.4936
1.7000	4.9000	0.4936
1.7000	5.0000	0.4936
1.7000	5.1000	0.4936
1.7000	5.2000	0.4936
1.7000	5.3000	0.4936
1.7000	5.4000	0.4936
1.7000	5.5000	0.4936
1.7000	5.6000	0.4936
1.7000	5.7000	0.4936
1.7000	5.8000	0.4936
1.7000	5.9000	0.4936
1.7000	6.0000	0.4936
1.7000	6.1000	0.4936
1.7000	6.2000	0.4936
1.7000	6.3000	0.4936
1.7000	6.4000	0.4936
1.7000	6.5000	0.4936
1.7000	6.6000	0.4936
1.7000	6.7000	0.4936
1.7000	6.8000	0.4936
1.7000	6.9000	0.4936
1.7000	7.0000	0.4936
1.8000	0.0000	0.3289
1.8000	0.1000	0.3289
1.8000	0.2000	0.3289
1.8000	0.3000	0.3289
1.8000	0.4000	0.3289
1.8000	0.5000	0.3289
1.8000	0.6000	0.3289
1.8000	0.7000	0.3289
1.8000	0.8000	0.3289
1.8000	0.9000	0.3289
1.8000	1.0000	0.3289
1.8000	1.1000	0.3289
1.8000	1.2000	0.3289
1.8000	1.3000	0.3289
1.8000	1.4000	0.3289
1.8000	1.5000	0.3289
1.8000	1.6000	0.3289
1.8000	1.7000	0.3289
1.8000	1.8000	0.3289
1.8000	1.9000	0.3289
1.8000	2.0000	0.3289
1.8000	2.1000	0.3289
1.8000	2.2000	0.3289
1.8000	2.3000	0.3289
1.8000	2.4000	0.3289
1.8000	2.5000	0.3289
1.8000	2.6000	0.3289
1.8000	2.7000	0.3289
1.8000	2.8000	0.3289
1.8000	2.9000	0.3289
1.8000	3.0000	0.3289
1.8000	3.1000	0.3289
1.8000	3.2000	0.3289
1.8000	3.3000	0.3289
1.8000	3.4000	0.3289
1.8000	3.5000	0.3289
1.8000	3.6000	0.3289
1.8000	3.7000	0.3289
1.8000	3.8000	0.3289
1.8000	3.9000	0.3289
1.8000	4.0000	0.3289
1.8000	4.1000	0.3289
1.8000	4.2000	0.3289
1.8000	4.3000	0.3289
1.8000	4.4000	0.3289
1.8000	4.5000	0.3289
1.8000	4.6000	0.3289
1.8000	4.7000	0.3289
1.8000	4.8000	0.3289
1.8000	4.9000	0.3289
1.8000	5.0000	0.3289
1.8000	5.1000	0.3289
1.8000	5.2000	0.3289
1.8000	5.3000	0.3289
1.8000	5.4000	0.3289
1.8000	5.5000	0.3289
1.8000	5.6000	0.3289
1.8000	5.7000	0.3289
1.8000	5.8000	0.3289
1.8000	5.9000	0.3289
1.8000	6.0000	0.3289
1.8000	6.1000	0.3289
1.8000	6.2000	0.3289
1.8000	6.3000	0.3289
1.8000	6.4000	0.3289
1.8000	6.5000	0.3289
1.8000	6.6000	0.3289
1.8000	6.7000	0.3289
1.8000	6.8000	0.3289
1.8000	6.9000	0.3289
1.8000	7.0000	0.3289
1.9000	0.0000	0.1668
1.9000	0.1000	0.1668
1.9000	0.2000	0.1668
1.9000	0.3000	0.1668
1.9000	0.4000	0.1668
1.9000	0.5000	0.1668
1.9000	0.6000	0.1668
1.9000	0.7000	0.1668
1.9000	0.8000	0.1668
1.9000	0.9000	0.1668
1.9000	1.0000	0.1668
1.9000	1.1000	0.1668
1.9000	1.2000	0.1668
1.9000	1.3000	0.1668
1.9000	1.4000	0.1668
1.9000	1.5000	0.1668
1.9000	1.6000	0.1668
1.9000	1.7000	0.1668
1.9000	1.8000	0.1668
1.9000	1.9000	0.1668
1.9000	2.0000	0.1668
1.9000	2.1000	0.1668
1.9000	2.2000	0.1668
1.9000	2.3000	0.1668
1.9000	2.4000	0.1668
1.9000	2.5000	0.1668
1.9000	2.6000	0.1668
1.9000	2.7000	0.1668
1.9000	2.8000	0.1668
1.9000	2.9000	0.1668
1.9000	3.0000	0.1668
1.9000	3.1000	0.1668
1.9000	3.2000	0.1668
1.9000	3.3000	0.1668
1.9000	3.4000	0.1668
1.9000	3.5000	0.1668
1.9000	3.6000	0.1668
1.9000	3.7000	0.1668
1.9000	3.8000	0.1668
1.9000	3.9000	0.1668
1.9000	4.0000	0.1668
1.9000	4.1000	0.1668
1.9000	4.2000	0.1668
1.9000	4.3000	0.1668
1.9000	4.4000	0.1668
1.9000	4.5000	0.1668
1.9000	4.6000	0.1668
1.9000	4.7000	0.1668
1.9000	4.8000	0.1668
1.9000	4.9000	0.1668
1.9000	5.0000	0.1668
1.9000	5.1000	0.1668
1.9000	5.2000	0.1668
1.9000	5.3000	0.1668
1.9000	5.4000	0.1668
1.9000	5.5000	0.1668
1.9000	5.6000	0.1668
1.9000	5.7000	0.1668
1.9000	5.8000	0.1668
1.9000	5.9000	0.1668
1.9000	6.0000	0.1668
1.9000	6.1000	0.1668
1.9000	6.2000	0.1668
1.9000	6.3000	0.1668
1.9000	6.4000	0.1668
1.9000	6.5000	0.1668
1.9000	6.6000	0.1668
1.9000	6.7000	0.1668
1.9000	6.8000	0.1668
1.9000	6.9000	0.1668
1.9000	7.0000	0.1668
2.0000	0.0000	0.0092
2.0000	0.1000	0.0092
2.0000	0.2000	0.0092
2.0000	0.3000	0.0092
2.0000	0.4000	0.0092
2.0000	0.5000	0.0092
2.0000	0.6000	0.0092
2.0000	0.7000	0.0092
2.0000	0.8000	0.0092
2.0000	0.9000	0.0092
2.0000	1.0000	0.0092
2.0000	1.1000	0.0092
2.0000	1.2000	0.0092
2.0000	1.3000	0.0092
2.0000	1.4000	0.0092
2.0000	1.5000	0.0092
2.0000	1.6000	0.0092
2.0000	1.7000	0.0092
2.0000	1.8000	0.0092
2.0000	1.9000	0.0092
2.0000	2.0000	0.0092
2.0000	2.1000	0.0092
2.0000	2.2000	0.0092
2.0000	2.3000	0.0092
2.0000	2.4000	0.0092
2.0000	2.5000	0.0092
2.0000	2.6000	0.0092
2.0000	2.7000	0.0092
2.0000	2.8000	0.0092
2.0000	2.9000	0.0092
2.0000	3.0000	0.0092
2.0000	3.1000	0.0092
2.0000	3.2000	0.0092
2.0000	3.3000	0.0092
2.0000	3.4000	0.0092
2.0000	3.5000	0.0092
2.0000	3.6000	0.0092
2.0000	3.7000	0.0092
2.0000	3.8000	0.0092
2.0000	3.9000	0.0092
2.0000	4.0000	0.0092
2.0000	4.1000	0.0092
2.0000	4.2000	0.0092
2.0000	4.3000	0.0092
2.0000	4.4000	0.0092
2.0000	4.5000	0.0092
2.0000	4.6000	0.0092
2.0000	4.7000	0.0092
2.0000	4.8000	0.0092
2.0000	4.9000	0.0092
2.0000	5.0000	0.0092
2.0000	5.1000	0.0092
2.0000	5.2000	0.0092
2.0000	5.3000	0.0092
2.0000	5.4000	0.0092
2.0000	5.5000	0.0092
2.0000	5.6000	0.0092
2.0000	5.7000	0.0092
2.0000	5.8000	0.0092
2.0000	5.9000	0.0092
2.0000	6.0000	0.0092
2.0000	6.1000	0.0092
2.0000	6.2000	0.0092
2.0000	6.3000	0.0092
2.0000	6.4000	0.0092
2.0000	6.5000	0.0092
2.0000	6.6000	0.0092
2.0000	6.7000	0.0092
2.0000	6.8000	0.0092
2.0000	6.9000	0.0092
2.0000	7.0000	0.0092
2.1000	0.0000	-0.1423
2.1000	0.1000	-0.1423
2.1000	0.2000	-0.1423
2.1000	0.3000	-0.1423
2.1000	0.4000	-0.1423
2.1000	0.5000	-0.1423
2.1000	0.6000	-0.1423
2.1000	0.7000	-0.1423
2.1000	0.8000	-0.1423
2.1000	0.9000	-0.1423
2.1000	1.0000	-0.1423
2.1000	1.1000	-0.1423
2.1000	1.2000	-0.1423
2.1000	1.3000	-0.1423
2.1000	1.4000	-0.1423
2.1000	1.5000	-0.1423
2.1000	1.6000	-0.1423
2.1000	1.7000	-0.1423
2.1000	1.8000	-0.1423
2.1000	1.9000	-0.1423
2.1000	2.0000	-0.1423
2.1000	2.1000	-0.1423
2.1000	2.2000	-0.1423
2.1000	2.3000	-0.1423
2.1000	2.4000	-0.1423
2.1000	2.5000	-0.1423
2.1000	2.6000	-0.1423
2.1000	2.7000	-0.1423
2.1000	2.8000	-0.1423
2.1000	2.9000	-0.1423
2.1000	3.0000	-0.1423
2.1000	3.1000	-0.1423
2.1000	3.2000	-0.1423
2.1000	3.3000	-0.1423
2.1000	3.4000	-0.1423
2.1000	3.5000	-0.1423
2.1000	3.6000	-0.1423
2.1000	3.7000	-0.1423
2.1000	3.8000	-0.1423
2.1000	3.9000	-0.1423
2.1000	4.0000	-0.1423
2.1000	4.1000	-0.1423
2.1000	4.2000	-0.1423
2.1000	4.3000	-0.1423
2.1000	4.4000	-0.1423
2.1000	4.5000	-0.1423
2.1000	4.6000	-0.1423
2.1000	4.7000	-0.1423
2.1000	4.8000	-0.1423
2.1000	4.9000	-0.1423
2.1000	5.0000	-0.1423
2.1000	5.1000	-0.1423
2.1000	5.2000	-0.1423
2.1000	5.3000	-0.1423
2.1000	5.4000	-0.1423
2.1000	5.5000	-0.1423
2.1000	5.6000	-0.1423
2.1000	5.7000	-0.1423
2.1000	5.8000	-0.1423
2.1000	5.9000	-0.1423
2.1000	6.0000	-0.1423
2.1000	6.1000	-0.1423
2.1000	6.2000	-0.1423
2.1000	6.3000	-0.1423
2.1000	6.4000	-0.1423
2.1000	6.5000	-0.1423
2.1000	6.6000	-0.1423
2.1000	6.7000	-0.1423
2.1000	6.8000	-0.1423
2.1000	6.9000	-0.1423
2.1000	7.0000	-0.1423
2.2000	0.0000	-0.2858
2.2000	0.1000	-0.2858
2.2000	0.2000	-0.2858
2.2000	0.3000	-0.2858
2.2000	0.4000	-0.2858
2.2000	0.5000	-0.2858
2.2000	0.6000	-0.2858
2.2000	0.7000	-0.2858
2.2000	0.8000	-0.2858
2.2000	0.9000	-0.2858
2.2000	1.0000	-0.2858
2.2000	1.1000	-0.2858
2.2000	1.2000	-0.2858
2.2000	1.3000	-0.2858
2.2000	1.4000	-0.2858
2.2000	1.5000	-0.2858
2.2000	1.6000	-0.2858
2.2000	1.7000	-0.2858
2.2000	1.8000	-0.2858
2.2000	1.9000	-0.2858
2.2000	2.0000	-0.2858
2.2000	2.1000	-0.2858
2.2000	2.2000	-0.2858
2.2000	2.3000	-0.2858
2.2000	2.4000	-0.2858
2.2000	2.5000	-0.2858
2.2000	2.6000	-0.2858
2.2000	2.7000	-0.2858
2.2000	2.8000	-0.2858
2.2000	2.9000	-0.2858
2.2000	3.0000	-0.2858
2.2000	3.1000	-0.2858
2.2000	3.2000	-0.2858
2.2000	3.3000	-0.2858
2.2000	3.4000	-0.2858
2.2000	3.5000	-0.2858
2.2000	3.6000	-0.2858
2.2000	3.7000	-0.2858
2.2000	3.8000	-0.2858
2.2000	3.9000	-0.2858
2.2000	4.0000	-0.2858
2.2000	4.1000	-0.2858
2.2000	4.2000	-0.2858
2.2000	4.3000	-0.2858
2.2000	4.4000	-0.2858
2.2000	4.5000	-0.2858
2.2000	4.6000	-0.2858
2.2000	4.7000	-0.2858
2.2000	4.8000	-0.2858
2.2000	4.9000	-0.2858
2.2000	5.0000	-0.2858
2.2000	5.1000	-0.2858
2.2000	5.2000	-0.2858
2.2000	5.3000	-0.2858
2.2000	5.4000	-0.2858
2.2000	5.5000	-0.2858
2.2000	5.6000	-0.2858
2.2000	5.7000	-0.2858
2.2000	5.8000	-0.2858
2.2000	5.9000	-0.2858
2.2000	6.0000	-0.2858
2.2000	6.1000	-0.2858
2.2000	6.2000	-0.2858
2.2000	6.3000	-0.2858
2.2000	6.4000	-0.2858
2.2000	6.5000	-0.2858
2.2000	6.6000	-0.2858
2.2000	6.7000	-0.2858
2.2000	6.8000	-0.2858
2.2000	6.9000	-0.2858
2.2000	7.0000	-0.2858
2.3000	0.0000	-0.4198
2.3000	0.1000	-0.4198
2.3000	0.2000	-0.4198
2.3000	0.3000	-0.4198
2.3000	0.4000	-0.4198
2.3000	0.5000	-0.4198
2.3000	0.6000	-0.4198
2.3000	0.7000	-0.4198
2.3000	0.8000	-0.4198
2.3000	0.9000	-0.4198
2.3000	1.0000	-0.4198
2.3000	1.1000	-0.4198
2.3000	1.2000	-0.4198
2.3000	1.3000	-0.4198
2.3000	1.4000	-0.4198
2.3000	1.5000	-0.4198
2.3000	1.6000	-0.4198
2.3000	1.7000	-0.4198
2.3000	1.8000	-0.4198
2.3000	1.9000	-0.4198
2.3000	2.0000	-0.4198
2.3000	2.1000	-0.4198
2.3000	2.2000	-0.4198
2.3000	2.3000	-0.4198
2.3000	2.4000	-0.4198
2.3000	2.5000	-0.4198
2.3000	2.6000	-0.4198
2.3000	2.7000	-0.4198
2.3000	2.8000	-0.4198
2.3000	2.9000	-0.4198
2.3000	3.0000	-0.4198
2.3000	3.1000	-0.4198
2.3000	3.2000	-0.4198
2.3000	3.3000	-0.4198
2.3000	3.4000	-0.4198
2.3000	3.5000	-0.4198
2.3000	3.6000	-0.4198
2.3000	3.7000	-0.4198
2.3000	3.8000	-0.4198
2.3000	3.9000	-0.4198
2.3000	4.0000	-0.4198
2.3000	4.1000	-0.4198
2.3000	4.2000	-0.4198
2.3000	4.3000	-0.4198
2.3000	4.4000	-0.4198
2.3000	4.5000	-0.4198
2.3000	4.6000	-0.4198
2.3000	4.7000	-0.4198
2.3000	4.8000	-0.4198
2.3000	4.9000	-0.4198
2.3000	5.0000	-0.4198
2.3000	5.1000	-0.4198
2.3000	5.2000	-0.4198
2.3000	5.3000	-0.4198
2.3000	5.4000	-0.4198
2.3000	5.5000	-0.4198
2.3000	5.6000	-0.4198
2.3000	5.7000	-0.4198
2.3000	5.8000	-0.4198
2.3000	5.9000	-0.4198
2.3000	6.0000	-0.4198
2.3000	6.1000	-0.4198
2.3000	6.2000	-0.4198
2.3000	6.3000	-0.4198
2.3000	6.4000	-0.4198
2.3000	6.5000	-0.4198
2.3000	6.6000	-0.4198
2.3000	6.7000	-0.4198
2.3000	6.8000	-0.4198
2.3000	6.9000	-0.4198
2.3000	7.0000	-0.4198
2.4000	0.0000	-0.5427
2.4000	0.1000	-0.5427
2.4000	0.2000	-0.5427
2.4000	0.3000	-0.5427
2.4000	0.4000	-0.5427
2.4000	0.5000	-0.5427
2.4000	0.6000	-0.5427
2.4000	0.7000	-0.5427
2.4000	0.8000	-0.5427
2.4000	0.9000	-0.5427
2.4000	1.0000	-0.5427
2.4000	1.1000	-0.5427
2.4000	1.2000	-0.5427
2.4000	1.3000	-0.5427
2.4000	1.4000	-0.5427
2.4000	1.5000	-0.5427
2.4000	1.6000	-0.5427
2.4000	1.7000	-0.5427
2.4000	1.8000	-0.5427
2.4000	1.9000	-0.5427
2.4000	2.0000	-0.5427
2.4000	2.1000	-0.5427
2.4000	2.2000	-0.5427
2.4000	2.3000	-0.5427
2.4000	2.4000	-0.5427
2.4000	2.5000	-0.5427
2.4000	2.6000	-0.5427
2.4000	2.7000	-0.5427
2.4000	2.8000	-0.5427
2.4000	2.9000	-0.5427
2.4000	3.0000	-0.5427
2.4000	3.1000	-0.5427
2.4000	3.2000	-0.5427
2.4000	3.3000	-0.5427
2.4000	3.4000	-0.5427
2.4000	3.5000	-0.5427
2.4000	3.6000	-0.5427
2.4000	3.7000	-0.5427
2.4000	3.8000	-0.5427
2.4000	3.9000	-0.5427
2.4000	4.0000	-0.5427
2.4000	4.1000	-0.5427
2.4000	4.2000	-0.5427
2.4000	4.3000	-0.5427
2.4000	4.4000	-0.5427
2.4000	4.5000	-0.5427
2.4000	4.6000	-0.5427
2.4000	4.7000	-0.5427
2.4000	4.8000	-0.5427
2.4000	4.9000	-0.5427
2.4000	5.0000	-0.5427
2.4000	5.1000	-0.5427
2.4000	5.2000	-0.5427
2.4000	5.3000	-0.5427
2.4000	5.4000	-0.5427
2.4000	5.5000	-0.5427
2.4000	5.6000	-0.5427
2.4000	5.7000	-0.5427
2.4000	5.8000	-0.5427
2.4000	5.9000	-0.5427
2.4000	6.0000	-0.5427
2.4000	6.1000	-0.5427
2.4000	6.2000	-0.5427
2.4000	6.3000	-0.5427
2.4000	6.4000	-0.5427
2.4000	6.5000	-0.5427
2.4000	6.6000	-0.5427
2.4000	6.7000	-0.5427
2.4000	6.8000	-0.5427
2.4000	6.9000	-0.5427
2.4000	7.0000	-0.5427
2.5000	0.0000	-0.6533
2.5000	0.1000	-0.6533
2.5000	0.2000	-0.6533
2.5000	0.3000	-0.6533
2.5000	0.4000	-0.6533
2.5000	0.5000	-0.6533
2.5000	0.6000	-0.6533
2.5000	0.7000	-0.6533
2.5000	0.8000	-0.6533
2.5000	0.9000	-0.6533
2.5000	1.0000	-0.6533
2.5000	1.1000	-0.6533
2.5000	1.2000	-0.6533
2.5000	1.3000	-0.6533
2.5000	1.4000	-0.6533
2.5000	1.5000	-0.6533
2.5000	1.6000	-0.6533
2.5000	1.7000	-0.6533
2.5000	1.8000	-0.6533
2.5000	1.9000	-0.6533
2.5000	2.0000	-0.6533
2.5000	2.1000	-0.6533
2.5000	2.2000	-0.6533
2.5000	2.3000	-0.6533
2.5000	2.4000	-0.6533
2.5000	2.5000	-0.6533
2.5000	2.6000	-0.6533
2.5000	2.7000	-0.6533
2.5000	2.8000	-0.6533
2.5000	2.9000	-0.6533
2.5000	3.0000	-0.6533
2.5000	3.1000	-0.6533
2.5000	3.2000	-0.6533
2.5000	3.3000	-0.6533
2.5000	3.4000	-0.6533
2.5000	3.5000	-0.6533
2.5000	3.6000	-0.6533
2.5000	3.7000	-0.6533
2.5000	3.8000	-0.6533
2.5000	3.9000	-0.6533
2.5000	4.0000	-0.6533
2.5000	4.1000	-0.6533
2.5000	4.2000	-0.6533
2.5000	4.3000	-0.6533
2.5000	4.4000	-0.6533
2.5000	4.5000	-0.6533
2.5000	4.6000	-0.6533
2.5000	4.7000	-0.6533
2.5000	4.8000	-0.6533
2.5000	4.9000	-0.6533
2.5000	5.0000	-0.6533
2.5000	5.1000	-0.6533
2.5000	5.2000	-0.6533
2.5000	5.3000	-0.6533
2.5000	5.4000	-0.6533
2.5000	5.5000	-0.6533
2.5000	5.6000	-0.6533
2.5000	5.7000	-0.6533
2.5000	5.8000	-0.6533
2.5000	5.9000	-0.6533
2.5000	6.0000	-0.6533
2.5000	6.1000	-0.6533
2.5000	6.2000	-0.6533
2.5000	6.3000	-0.6533
2.5000	6.4000	-0.6533
